intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 0,300, makespan: 109 
intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 0,500, makespan: 109 
intertiaW: 0,500, r: 0,300, lr: 0,300, GR: 1,000, makespan: 107 
intertiaW: 0,500, r: 0,300, lr: 0,500, GR: 0,300, makespan: 109 
intertiaW: 0,500, r: 0,300, lr: 0,500, GR: 0,500, makespan: 109 
intertiaW: 0,500, r: 0,300, lr: 0,500, GR: 1,000, makespan: 106 
intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 0,300, makespan: 109 
intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 0,500, makespan: 105 
intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 1,000, makespan: 106 
intertiaW: 0,500, r: 0,500, lr: 0,300, GR: 0,300, makespan: 110 
intertiaW: 0,500, r: 0,500, lr: 0,300, GR: 0,500, makespan: 108 
intertiaW: 0,500, r: 0,500, lr: 0,300, GR: 1,000, makespan: 108 
intertiaW: 0,500, r: 0,500, lr: 0,500, GR: 0,300, makespan: 108 
intertiaW: 0,500, r: 0,500, lr: 0,500, GR: 0,500, makespan: 106 
intertiaW: 0,500, r: 0,500, lr: 0,500, GR: 1,000, makespan: 109 
intertiaW: 0,500, r: 0,500, lr: 1,000, GR: 0,300, makespan: 109 
intertiaW: 0,500, r: 0,500, lr: 1,000, GR: 0,500, makespan: 110 
intertiaW: 0,500, r: 0,500, lr: 1,000, GR: 1,000, makespan: 109 
intertiaW: 0,500, r: 1,000, lr: 0,300, GR: 0,300, makespan: 107 
intertiaW: 0,500, r: 1,000, lr: 0,300, GR: 0,500, makespan: 107 
intertiaW: 0,500, r: 1,000, lr: 0,300, GR: 1,000, makespan: 107 
intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 0,300, makespan: 107 
intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 0,500, makespan: 107 
intertiaW: 0,500, r: 1,000, lr: 0,500, GR: 1,000, makespan: 105 
intertiaW: 0,500, r: 1,000, lr: 1,000, GR: 0,300, makespan: 109 
intertiaW: 0,500, r: 1,000, lr: 1,000, GR: 0,500, makespan: 105 
intertiaW: 0,500, r: 1,000, lr: 1,000, GR: 1,000, makespan: 108 
intertiaW: 1,000, r: 0,300, lr: 0,300, GR: 0,300, makespan: 109 
intertiaW: 1,000, r: 0,300, lr: 0,300, GR: 0,500, makespan: 110 
intertiaW: 1,000, r: 0,300, lr: 0,300, GR: 1,000, makespan: 109 
intertiaW: 1,000, r: 0,300, lr: 0,500, GR: 0,300, makespan: 108 
intertiaW: 1,000, r: 0,300, lr: 0,500, GR: 0,500, makespan: 110 
intertiaW: 1,000, r: 0,300, lr: 0,500, GR: 1,000, makespan: 108 
intertiaW: 1,000, r: 0,300, lr: 1,000, GR: 0,300, makespan: 109 
intertiaW: 1,000, r: 0,300, lr: 1,000, GR: 0,500, makespan: 107 
intertiaW: 1,000, r: 0,300, lr: 1,000, GR: 1,000, makespan: 107 
intertiaW: 1,000, r: 0,500, lr: 0,300, GR: 0,300, makespan: 109 
intertiaW: 1,000, r: 0,500, lr: 0,300, GR: 0,500, makespan: 108 
intertiaW: 1,000, r: 0,500, lr: 0,300, GR: 1,000, makespan: 107 
intertiaW: 1,000, r: 0,500, lr: 0,500, GR: 0,300, makespan: 108 
intertiaW: 1,000, r: 0,500, lr: 0,500, GR: 0,500, makespan: 107 
intertiaW: 1,000, r: 0,500, lr: 0,500, GR: 1,000, makespan: 108 
intertiaW: 1,000, r: 0,500, lr: 1,000, GR: 0,300, makespan: 106 
intertiaW: 1,000, r: 0,500, lr: 1,000, GR: 0,500, makespan: 109 
intertiaW: 1,000, r: 0,500, lr: 1,000, GR: 1,000, makespan: 109 
intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 0,300, makespan: 108 
intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 0,500, makespan: 109 
intertiaW: 1,000, r: 1,000, lr: 0,300, GR: 1,000, makespan: 109 
intertiaW: 1,000, r: 1,000, lr: 0,500, GR: 0,300, makespan: 110 
intertiaW: 1,000, r: 1,000, lr: 0,500, GR: 0,500, makespan: 108 
intertiaW: 1,000, r: 1,000, lr: 0,500, GR: 1,000, makespan: 109 
intertiaW: 1,000, r: 1,000, lr: 1,000, GR: 0,300, makespan: 109 
intertiaW: 1,000, r: 1,000, lr: 1,000, GR: 0,500, makespan: 109 
intertiaW: 1,000, r: 1,000, lr: 1,000, GR: 1,000, makespan: 108 
Best run: intertiaW: 0,500, r: 0,300, lr: 1,000, GR: 0,500, makespan: 105 
